2023-11-14-bithumb-btc-orderbook
   ,  price  ,quantity  ,type,         timestamp
2,49496000,0.0522,0,2023-11-13 22:24:41
3,49495000,0.0055,0,2023-11-13 22:24:41
4,49494000,0.0929,0,2023-11-13 22:24:41
0,49500000,0.0049,1,2023-11-13 22:24:41
1,49503000,0.0022,1,2023-11-13 22:24:41
2,49504000,0.0045,1,2023-11-13 22:24:41
3,49505000,0.0049,1,2023-11-13 22:24:41
4,49506000,0.0041,1,2023-11-13 22:24:41
   ,   price , quantity ,e  ,          timestamp
0,49497000,0.2034,0,2023-11-13 22:24:46
1,49496000,0.0043,0,2023-11-13 22:24:46
2,49495000,0.0532,0,2023-11-13 22:24:46
3,49494000,0.0048,0,2023-11-13 22:24:46
4,49493000,0.0059,0,2023-11-13 22:24:46
0,49498000,0.0086,1,2023-11-13 22:24:46
1,49499000,0.0052,1,2023-11-13 22:24:46
2,49502000,0.0049,1,2023-11-13 22:24:46
3,49503000,0.0058,1,2023-11-13 22:24:46
4,49504000,0.0020,1,2023-11-13 22:24:46
   ,   price , quantity ,e  ,          timestamp
0,49488000,0.0039,0,2023-11-13 22:24:51
1,49487000,0.0055,0,2023-11-13 22:24:51
2,49486000,0.0051,0,2023-11-13 22:24:51
3,49485000,0.0057,0,2023-11-13 22:24:51
4,49484000,0.0056,0,2023-11-13 22:24:51
0,49490000,0.0043,1,2023-11-13 22:24:51
1,49491000,0.1955,1,2023-11-13 22:24:51
2,49492000,0.0056,1,2023-11-13 22:24:51
3,49493000,0.0053,1,2023-11-13 22:24:51
4,49494000,0.0360,1,2023-11-13 22:24:51
   ,   price , quantity ,e  ,          timestamp
0,49489000,0.3104,0,2023-11-13 22:24:56
1,49487000,0.0049,0,2023-11-13 22:24:56
2,49486000,0.0051,0,2023-11-13 22:24:56
3,49485000,0.0057,0,2023-11-13 22:24:56
4,49484000,0.0056,0,2023-11-13 22:24:56
0,49490000,0.0042,1,2023-11-13 22:24:56
1,49491000,0.0046,1,2023-11-13 22:24:56
2,49492000,0.0056,1,2023-11-13 22:24:56
3,49493000,0.0053,1,2023-11-13 22:24:56
4,49494000,0.0360,1,2023-11-13 22:24:56
   ,   price , quantity ,e  ,          timestamp
0,49492000,0.2621,0,2023-11-13 22:25:01
1,49491000,0.1803,0,2023-11-13 22:25:01
2,49490000,0.0058,0,2023-11-13 22:25:01
3,49489000,0.0512,0,2023-11-13 22:25:01
4,49488000,0.0051,0,2023-11-13 22:25:01
0,49493000,0.0053,1,2023-11-13 22:25:01
1,49494000,0.0059,1,2023-11-13 22:25:01
2,49495000,0.0047,1,2023-11-13 22:25:01
3,49496000,0.0055,1,2023-11-13 22:25:01
4,49497000,0.0080,1,2023-11-13 22:25:01
   ,   price , quantity ,e  ,          timestamp
0,49493000,0.0159,0,2023-11-13 22:25:06
1,49492000,0.2178,0,2023-11-13 22:25:06
2,49491000,0.0058,0,2023-11-13 22:25:06
3,49490000,0.0058,0,2023-11-13 22:25:06
4,49489000,0.0042,0,2023-11-13 22:25:06
0,49495000,0.1158,1,2023-11-13 22:25:06
1,49496000,0.0055,1,2023-11-13 22:25:06
2,49497000,0.0043,1,2023-11-13 22:25:06
3,49498000,0.0056,1,2023-11-13 22:25:06
4,49499000,0.0052,1,2023-11-13 22:25:06
   ,   price , quantity ,e  ,          timestamp
0,49490000,0.0001,0,2023-11-13 22:25:11
1,49489000,0.0042,0,2023-11-13 22:25:11
2,49488000,0.0051,0,2023-11-13 22:25:11
3,49487000,0.0049,0,2023-11-13 22:25:11
4,49486000,0.0051,0,2023-11-13 22:25:11
0,49496000,0.0055,1,2023-11-13 22:25:11
1,49497000,0.0082,1,2023-11-13 22:25:11
2,49498000,0.0056,1,2023-11-13 22:25:11
3,49499000,0.0351,1,2023-11-13 22:25:11
4,49500000,0.0838,1,2023-11-13 22:25:11
   ,   price , quantity ,e  ,          timestamp
0,49490000,0.0016,0,2023-11-13 22:25:16
1,49489000,0.0044,0,2023-11-13 22:25:16
2,49488000,0.0051,0,2023-11-13 22:25:16
3,49487000,0.0051,0,2023-11-13 22:25:16
4,49486000,0.0053,0,2023-11-13 22:25:16
0,49493000,0.0641,1,2023-11-13 22:25:16
1,49494000,0.0059,1,2023-11-13 22:25:16
2,49495000,0.0052,1,2023-11-13 22:25:16
3,49498000,0.0206,1,2023-11-13 22:25:16
4,49499000,0.0054,1,2023-11-13 22:25:16
   ,   price , quantity ,e  ,          timestamp
0,49487000,0.0043,0,2023-11-13 22:25:21
1,49486000,0.0059,0,2023-11-13 22:25:21
2,49485000,0.0049,0,2023-11-13 22:25:21
3,49484000,0.0054,0,2023-11-13 22:25:21
4,49483000,0.0049,0,2023-11-13 22:25:21
0,49488000,0.0108,1,2023-11-13 22:25:21
1,49489000,0.0051,1,2023-11-13 22:25:21
2,49490000,0.0041,1,2023-11-13 22:25:21
3,49491000,0.0059,1,2023-11-13 22:25:21
4,49492000,0.0059,1,2023-11-13 22:25:21
   ,   price , quantity ,e  ,          timestamp
0,49490000,0.1851,0,2023-11-13 22:25:26
1,49489000,0.0054,0,2023-11-13 22:25:26
2,49488000,0.0044,0,2023-11-13 22:25:26
3,49487000,0.0515,0,2023-11-13 22:25:26
4,49486000,0.0059,0,2023-11-13 22:25:26
0,49491000,0.7280,1,2023-11-13 22:25:26
1,49492000,0.0059,1,2023-11-13 22:25:26
2,49493000,0.0057,1,2023-11-13 22:25:26
3,49494000,0.0059,1,2023-11-13 22:25:26
4,49495000,0.0052,1,2023-11-13 22:25:26
   ,   price , quantity ,e  ,          timestamp
0,49494000,0.2260,0,2023-11-13 22:25:31
1,49493000,1.1039,0,2023-11-13 22:25:31
2,49492000,0.0061,0,2023-11-13 22:25:31
3,49491000,0.0143,0,2023-11-13 22:25:31
4,49490000,0.0105,0,2023-11-13 22:25:31
0,49495000,0.0052,1,2023-11-13 22:25:31
1,49499000,0.0054,1,2023-11-13 22:25:31
2,49500000,0.0002,1,2023-11-13 22:25:31
3,49502000,0.0051,1,2023-11-13 22:25:31
4,49503000,0.0002,1,2023-11-13 22:25:31
   ,   price , quantity ,e  ,          timestamp
0,49513000,0.2334,0,2023-11-13 22:25:36
1,49512000,0.0505,0,2023-11-13 22:25:36
2,49511000,0.0042,0,2023-11-13 22:25:36
3,49510000,0.9386,0,2023-11-13 22:25:36
4,49509000,0.0164,0,2023-11-13 22:25:36
0,49518000,0.0033,1,2023-11-13 22:25:36
1,49519000,0.0057,1,2023-11-13 22:25:36
2,49520000,0.0060,1,2023-11-13 22:25:36
3,49521000,0.0092,1,2023-11-13 22:25:36
4,49523000,0.0002,1,2023-11-13 22:25:36
   ,   price , quantity ,e  ,          timestamp
0,49523000,0.2078,0,2023-11-13 22:25:41
1,49522000,0.0058,0,2023-11-13 22:25:41
2,49521000,0.0563,0,2023-11-13 22:25:41
3,49520000,0.0526,0,2023-11-13 22:25:41
4,49519000,0.0046,0,2023-11-13 22:25:41
0,49525000,0.0002,1,2023-11-13 22:25:41
1,49526000,0.0125,1,2023-11-13 22:25:41
2,49527000,0.0110,1,2023-11-13 22:25:41
3,49528000,0.0051,1,2023-11-13 22:25:41
4,49529000,0.0063,1,2023-11-13 22:25:41
   ,   price , quantity ,e  ,          timestamp
0,49525000,0.0044,0,2023-11-13 22:25:46
1,49524000,0.0039,0,2023-11-13 22:25:46
2,49523000,0.0278,0,2023-11-13 22:25:46
3,49522000,0.0058,0,2023-11-13 22:25:46
4,49521000,0.6878,0,2023-11-13 22:25:46
0,49530000,0.0673,1,2023-11-13 22:25:46
1,49531000,0.0052,1,2023-11-13 22:25:46
2,49532000,0.0509,1,2023-11-13 22:25:46
3,49533000,0.0053,1,2023-11-13 22:25:46
4,49534000,0.0892,1,2023-11-13 22:25:46
   ,   price , quantity ,e  ,          timestamp
0,49525000,0.6954,0,2023-11-13 22:25:51
1,49524000,0.0039,0,2023-11-13 22:25:51
2,49523000,0.0285,0,2023-11-13 22:25:51
3,49522000,0.0058,0,2023-11-13 22:25:51
4,49521000,0.0051,0,2023-11-13 22:25:51
0,49528000,0.0062,1,2023-11-13 22:25:51
1,49529000,0.0098,1,2023-11-13 22:25:51
2,49530000,0.1679,1,2023-11-13 22:25:51
3,49531000,0.0052,1,2023-11-13 22:25:51
4,49532000,0.0051,1,2023-11-13 22:25:51
   ,   price , quantity ,e  ,          timestamp
0,49529000,0.0214,0,2023-11-13 22:25:56
1,49528000,0.7179,0,2023-11-13 22:25:56
2,49527000,0.0521,0,2023-11-13 22:25:56
3,49526000,0.0578,0,2023-11-13 22:25:56
4,49525000,0.0044,0,2023-11-13 22:25:56
0,49531000,0.0052,1,2023-11-13 22:25:56
1,49532000,0.0051,1,2023-11-13 22:25:56
2,49533000,0.0053,1,2023-11-13 22:25:56
3,49534000,0.0060,1,2023-11-13 22:25:56
4,49535000,0.0057,1,2023-11-13 22:25:56
   ,   price , quantity ,e  ,          timestamp
0,49536000,0.0159,0,2023-11-13 22:26:01
1,49532000,0.0525,0,2023-11-13 22:26:01
2,49531000,0.0061,0,2023-11-13 22:26:01
3,49530000,0.0057,0,2023-11-13 22:26:01
4,49529000,0.0053,0,2023-11-13 22:26:01
0,49537000,0.0054,1,2023-11-13 22:26:01
1,49538000,0.0060,1,2023-11-13 22:26:01
