2023-11-14-bithumb-btc-orderbook
   ,  price  ,quantity  ,type,         timestamp
2,49548000,0.0701,1,2023-11-13 22:36:53
3,49549000,0.0049,1,2023-11-13 22:36:53
4,49550000,0.0041,1,2023-11-13 22:36:53
   ,   price , quantity ,e  ,          timestamp
0,49540000,0.0411,0,2023-11-13 22:36:58
1,49539000,0.1152,0,2023-11-13 22:36:58
2,49538000,0.0092,0,2023-11-13 22:36:58
3,49537000,0.0060,0,2023-11-13 22:36:58
4,49536000,0.1061,0,2023-11-13 22:36:58
0,49542000,0.0047,1,2023-11-13 22:36:58
1,49543000,0.0045,1,2023-11-13 22:36:58
2,49544000,0.0047,1,2023-11-13 22:36:58
3,49545000,0.0045,1,2023-11-13 22:36:58
4,49546000,0.1097,1,2023-11-13 22:36:58
   ,   price , quantity ,e  ,          timestamp
0,49538000,0.0005,0,2023-11-13 22:37:03
1,49537000,0.0060,0,2023-11-13 22:37:03
2,49536000,0.1061,0,2023-11-13 22:37:03
3,49535000,0.0052,0,2023-11-13 22:37:03
4,49534000,0.0054,0,2023-11-13 22:37:03
0,49539000,0.0467,1,2023-11-13 22:37:03
1,49540000,0.0057,1,2023-11-13 22:37:03
2,49541000,0.0596,1,2023-11-13 22:37:03
3,49542000,0.0085,1,2023-11-13 22:37:03
4,49543000,0.0057,1,2023-11-13 22:37:03
   ,   price , quantity ,e  ,          timestamp
0,49551000,0.0050,0,2023-11-13 22:37:08
1,49550000,0.7155,0,2023-11-13 22:37:08
2,49548000,0.1625,0,2023-11-13 22:37:08
3,49546000,0.0883,0,2023-11-13 22:37:08
4,49545000,0.1109,0,2023-11-13 22:37:08
0,49552000,0.0866,1,2023-11-13 22:37:08
1,49553000,0.0041,1,2023-11-13 22:37:08
2,49554000,0.0054,1,2023-11-13 22:37:08
3,49555000,0.0045,1,2023-11-13 22:37:08
4,49556000,0.0052,1,2023-11-13 22:37:08
   ,   price , quantity ,e  ,          timestamp
0,49561000,0.0516,0,2023-11-13 22:37:13
1,49560000,0.0117,0,2023-11-13 22:37:13
2,49558000,0.3915,0,2023-11-13 22:37:13
3,49557000,0.2696,0,2023-11-13 22:37:13
4,49556000,0.0045,0,2023-11-13 22:37:13
0,49562000,0.0051,1,2023-11-13 22:37:13
1,49563000,0.0050,1,2023-11-13 22:37:13
2,49564000,0.0050,1,2023-11-13 22:37:13
3,49565000,0.0060,1,2023-11-13 22:37:13
4,49566000,0.0047,1,2023-11-13 22:37:13
   ,   price , quantity ,e  ,          timestamp
0,49563000,0.1643,0,2023-11-13 22:37:18
1,49562000,0.0049,0,2023-11-13 22:37:18
2,49561000,0.0041,0,2023-11-13 22:37:18
3,49560000,0.0053,0,2023-11-13 22:37:18
4,49559000,0.0044,0,2023-11-13 22:37:18
0,49565000,0.1171,1,2023-11-13 22:37:18
1,49566000,0.0047,1,2023-11-13 22:37:18
2,49567000,0.0046,1,2023-11-13 22:37:18
3,49568000,0.0042,1,2023-11-13 22:37:18
4,49569000,0.0057,1,2023-11-13 22:37:18
   ,   price , quantity ,e  ,          timestamp
0,49547000,0.0049,0,2023-11-13 22:37:23
1,49546000,0.0061,0,2023-11-13 22:37:23
2,49545000,0.0047,0,2023-11-13 22:37:23
3,49544000,0.0051,0,2023-11-13 22:37:23
4,49543000,0.0057,0,2023-11-13 22:37:23
0,49549000,0.0047,1,2023-11-13 22:37:23
1,49550000,0.2169,1,2023-11-13 22:37:23
2,49551000,0.0063,1,2023-11-13 22:37:23
3,49552000,0.0630,1,2023-11-13 22:37:23
4,49553000,0.0767,1,2023-11-13 22:37:23
   ,   price , quantity ,e  ,          timestamp
0,49552000,0.0042,0,2023-11-13 22:37:28
1,49551000,0.2266,0,2023-11-13 22:37:28
2,49550000,0.0060,0,2023-11-13 22:37:28
3,49549000,0.0098,0,2023-11-13 22:37:28
4,49548000,0.0469,0,2023-11-13 22:37:28
0,49554000,0.0045,1,2023-11-13 22:37:28
1,49555000,0.0057,1,2023-11-13 22:37:28
2,49556000,0.0047,1,2023-11-13 22:37:28
3,49557000,0.0047,1,2023-11-13 22:37:28
4,49558000,0.0045,1,2023-11-13 22:37:28
   ,   price , quantity ,e  ,          timestamp
0,49556000,0.0055,0,2023-11-13 22:37:33
1,49555000,0.0051,0,2023-11-13 22:37:33
2,49554000,0.0041,0,2023-11-13 22:37:33
3,49553000,0.0050,0,2023-11-13 22:37:33
4,49552000,0.0042,0,2023-11-13 22:37:33
0,49558000,0.0829,1,2023-11-13 22:37:33
1,49559000,0.1177,1,2023-11-13 22:37:33
2,49560000,0.0049,1,2023-11-13 22:37:33
3,49561000,0.0055,1,2023-11-13 22:37:33
4,49562000,0.0041,1,2023-11-13 22:37:33
   ,   price , quantity ,e  ,          timestamp
0,49558000,0.1165,0,2023-11-13 22:37:37
1,49557000,0.0055,0,2023-11-13 22:37:37
2,49556000,0.0055,0,2023-11-13 22:37:37
3,49555000,0.0051,0,2023-11-13 22:37:37
4,49554000,0.0041,0,2023-11-13 22:37:37
0,49559000,0.0059,1,2023-11-13 22:37:37
1,49560000,0.0049,1,2023-11-13 22:37:37
2,49561000,0.0055,1,2023-11-13 22:37:37
3,49562000,0.0541,1,2023-11-13 22:37:37
4,49563000,0.0051,1,2023-11-13 22:37:37
   ,   price , quantity ,e  ,          timestamp
0,49562000,0.0055,0,2023-11-13 22:37:42
1,49561000,0.0055,0,2023-11-13 22:37:42
2,49560000,0.0051,0,2023-11-13 22:37:42
3,49558000,0.0050,0,2023-11-13 22:37:42
4,49557000,0.0055,0,2023-11-13 22:37:42
0,49563000,0.0051,1,2023-11-13 22:37:42
1,49564000,0.0158,1,2023-11-13 22:37:42
2,49565000,0.0060,1,2023-11-13 22:37:42
3,49566000,0.0049,1,2023-11-13 22:37:42
4,49567000,0.0047,1,2023-11-13 22:37:42
   ,   price , quantity ,e  ,          timestamp
0,49567000,0.0076,0,2023-11-13 22:37:47
1,49566000,0.0754,0,2023-11-13 22:37:47
2,49565000,0.0159,0,2023-11-13 22:37:47
3,49564000,0.0053,0,2023-11-13 22:37:47
4,49563000,0.3284,0,2023-11-13 22:37:47
0,49568000,0.0042,1,2023-11-13 22:37:47
1,49569000,0.0059,1,2023-11-13 22:37:47
2,49570000,0.0555,1,2023-11-13 22:37:47
3,49571000,0.0060,1,2023-11-13 22:37:47
4,49572000,0.0171,1,2023-11-13 22:37:47
   ,   price , quantity ,e  ,          timestamp
0,49563000,0.0049,0,2023-11-13 22:37:52
1,49562000,0.0051,0,2023-11-13 22:37:52
2,49561000,0.0051,0,2023-11-13 22:37:52
3,49560000,0.0046,0,2023-11-13 22:37:52
4,49559000,0.0893,0,2023-11-13 22:37:52
0,49565000,0.0104,1,2023-11-13 22:37:52
1,49566000,0.1236,1,2023-11-13 22:37:52
2,49567000,0.0500,1,2023-11-13 22:37:52
3,49568000,0.0042,1,2023-11-13 22:37:52
4,49569000,0.0059,1,2023-11-13 22:37:52
   ,   price , quantity ,e  ,          timestamp
0,49567000,0.0053,0,2023-11-13 22:37:57
1,49566000,0.2165,0,2023-11-13 22:37:57
2,49565000,0.3947,0,2023-11-13 22:37:57
3,49564000,0.0349,0,2023-11-13 22:37:57
4,49563000,0.0049,0,2023-11-13 22:37:57
0,49569000,0.0059,1,2023-11-13 22:37:57
1,49570000,0.0055,1,2023-11-13 22:37:57
2,49571000,0.0560,1,2023-11-13 22:37:57
3,49572000,0.0171,1,2023-11-13 22:37:57
4,49573000,0.0055,1,2023-11-13 22:37:57
   ,   price , quantity ,e  ,          timestamp
0,49568000,0.2038,0,2023-11-13 22:38:02
1,49567000,0.2051,0,2023-11-13 22:38:02
2,49566000,0.0354,0,2023-11-13 22:38:02
3,49565000,0.1830,0,2023-11-13 22:38:02
4,49564000,0.0932,0,2023-11-13 22:38:02
0,49570000,0.0054,1,2023-11-13 22:38:02
1,49571000,0.0560,1,2023-11-13 22:38:02
2,49572000,0.0062,1,2023-11-13 22:38:02
3,49573000,0.0055,1,2023-11-13 22:38:02
4,49574000,0.0044,1,2023-11-13 22:38:02
   ,   price , quantity ,e  ,          timestamp
0,49567000,0.1974,0,2023-11-13 22:38:07
1,49566000,0.0356,0,2023-11-13 22:38:07
2,49565000,0.1830,0,2023-11-13 22:38:07
3,49564000,0.0043,0,2023-11-13 22:38:07
4,49563000,0.0898,0,2023-11-13 22:38:07
0,49568000,0.0053,1,2023-11-13 22:38:07
1,49569000,0.0055,1,2023-11-13 22:38:07
2,49570000,0.0054,1,2023-11-13 22:38:07
3,49571000,0.0560,1,2023-11-13 22:38:07
4,49572000,0.0062,1,2023-11-13 22:38:07
   ,   price , quantity ,e  ,          timestamp
0,49560000,0.0657,0,2023-11-13 22:38:12
1,49558000,0.1179,0,2023-11-13 22:38:12
2,49557000,0.0007,0,2023-11-13 22:38:12
3,49556000,0.0055,0,2023-11-13 22:38:12
4,49555000,0.0051,0,2023-11-13 22:38:12
0,49561000,0.0046,1,2023-11-13 22:38:12
1,49562000,0.0101,1,2023-11-13 22:38:12
2,49563000,0.0407,1,2023-11-13 22:38:12
3,49564000,0.0049,1,2023-11-13 22:38:12
4,49565000,0.0082,1,2023-11-13 22:38:12
   ,   price , quantity ,e  ,          timestamp
0,49562000,0.0045,0,2023-11-13 22:38:17
1,49561000,0.0043,0,2023-11-13 22:38:17
2,49560000,0.0052,0,2023-11-13 22:38:17
3,49557000,0.0311,0,2023-11-13 22:38:17
4,49556000,0.0055,0,2023-11-13 22:38:17
0,49563000,0.0024,1,2023-11-13 22:38:17
1,49565000,0.2211,1,2023-11-13 22:38:17
2,49566000,0.0542,1,2023-11-13 22:38:17
3,49567000,0.0047,1,2023-11-13 22:38:17
4,49568000,0.0044,1,2023-11-13 22:38:17
   ,   price , quantity ,e  ,          timestamp
0,49552000,0.0284,0,2023-11-13 22:38:22
1,49551000,0.0051,0,2023-11-13 22:38:22
2,49550000,0.0060,0,2023-11-13 22:38:22
3,49549000,0.0051,0,2023-11-13 22:38:22
4,49548000,0.0051,0,2023-11-13 22:38:22
0,49553000,0.0043,1,2023-11-13 22:38:22
1,49554000,0.0050,1,2023-11-13 22:38:22
2,49555000,0.0041,1,2023-11-13 22:38:22
3,49556000,0.0051,1,2023-11-13 22:38:22
4,49557000,0.0555,1,2023-11-13 22:38:22
   ,   price , quantity ,e  ,          timestamp
0,49552000,0.0078,0,2023-11-13 22:38:27
1,49551000,0.0051,0,2023-11-13 22:38:27
2,49550000,0.0060,0,2023-11-13 22:38:27
3,49549000,0.0051,0,2023-11-13 22:38:27
4,49548000,0.0051,0,2023-11-13 22:38:27
0,49554000,0.0005,1,2023-11-13 22:38:27
1,49555000,0.0041,1,2023-11-13 22:38:27
2,49556000,0.0051,1,2023-11-13 22:38:27
3,49557000,0.0555,1,2023-11-13 22:38:27
4,49558000,0.0074,1,2023-11-13 22:38:27
   ,   price , quantity ,e  ,          timestamp
0,49553000,0.0001,0,2023-11-13 22:38:32
1,49552000,0.0078,0,2023-11-13 22:38:32
2,49551000,0.0051,0,2023-11-13 22:38:32
3,49550000,0.0060,0,2023-11-13 22:38:32
4,49549000,0.0051,0,2023-11-13 22:38:32
0,49554000,0.0505,1,2023-11-13 22:38:32
1,49555000,0.0041,1,2023-11-13 22:38:32
2,49556000,0.0051,1,2023-11-13 22:38:32
3,49557000,0.0055,1,2023-11-13 22:38:32
4,49558000,0.0074,1,2023-11-13 22:38:32
   ,   price , quantity ,e  ,          timestamp
0,49554000,0.0041,0,2023-11-13 22:38:37
1,49553000,0.0080,0,2023-11-13 22:38:37
2,49552000,0.0078,0,2023-11-13 22:38:37
3,49551000,0.0052,0,2023-11-13 22:38:37
4,49550000,0.0061,0,2023-11-13 22:38:37
0,49557000,0.0056,1,2023-11-13 22:38:37
1,49558000,0.0075,1,2023-11-13 22:38:37
2,49561000,0.0053,1,2023-11-13 22:38:37
3,49562000,0.0043,1,2023-11-13 22:38:37
4,49563000,0.0589,1,2023-11-13 22:38:37
   ,   price , quantity ,e  ,          timestamp
0,49549000,0.0059,0,2023-11-13 22:38:42
1,49548000,0.0052,0,2023-11-13 22:38:42
2,49547000,0.0852,0,2023-11-13 22:38:42
3,49546000,0.0266,0,2023-11-13 22:38:42
4,49545000,0.0043,0,2023-11-13 22:38:42
0,49551000,0.0060,1,2023-11-13 22:38:42
1,49552000,0.0051,1,2023-11-13 22:38:42
2,49553000,0.0041,1,2023-11-13 22:38:42
3,49554000,0.0542,1,2023-11-13 22:38:42
4,49555000,0.0041,1,2023-11-13 22:38:42
   ,   price , quantity ,e  ,          timestamp
0,49553000,0.0056,0,2023-11-13 22:38:47
1,49552000,0.0051,0,2023-11-13 22:38:47
2,49551000,0.0044,0,2023-11-13 22:38:47
3,49550000,0.0057,0,2023-11-13 22:38:47
4,49549000,0.0059,0,2023-11-13 22:38:47
0,49555000,0.0041,1,2023-11-13 22:38:47
1,49556000,0.0044,1,2023-11-13 22:38:47
2,49557000,0.0556,1,2023-11-13 22:38:47
3,49558000,0.0075,1,2023-11-13 22:38:47
4,49560000,0.0001,1,2023-11-13 22:38:47
   ,   price , quantity ,e  ,          timestamp
0,49549000,0.0009,0,2023-11-13 22:38:52
1,49548000,0.0052,0,2023-11-13 22:38:52
2,49547000,0.0046,0,2023-11-13 22:38:52
3,49546000,0.0052,0,2023-11-13 22:38:52
4,49545000,0.0043,0,2023-11-13 22:38:52
0,49553000,0.0186,1,2023-11-13 22:38:52
1,49554000,0.0056,1,2023-11-13 22:38:52
2,49555000,0.0045,1,2023-11-13 22:38:52
3,49556000,0.0044,1,2023-11-13 22:38:52
4,49557000,0.0056,1,2023-11-13 22:38:52
   ,   price , quantity ,e  ,          timestamp
0,49551000,0.0059,0,2023-11-13 22:38:57
1,49550000,0.0045,0,2023-11-13 22:38:57
2,49549000,0.0009,0,2023-11-13 22:38:57
3,49548000,0.0052,0,2023-11-13 22:38:57
4,49547000,0.0046,0,2023-11-13 22:38:57
0,49553000,0.0053,1,2023-11-13 22:38:57
1,49554000,0.0553,1,2023-11-13 22:38:57
2,49555000,0.0045,1,2023-11-13 22:38:57
3,49556000,0.0044,1,2023-11-13 22:38:57
4,49557000,0.0056,1,2023-11-13 22:38:57
   ,   price , quantity ,e  ,          timestamp
0,49546000,0.0052,0,2023-11-13 22:39:02
1,49545000,0.0043,0,2023-11-13 22:39:02
2,49544000,0.0053,0,2023-11-13 22:39:02
3,49543000,0.0593,0,2023-11-13 22:39:02
4,49542000,0.0046,0,2023-11-13 22:39:02
0,49549000,0.0293,1,2023-11-13 22:39:02
1,49551000,0.0084,1,2023-11-13 22:39:02
2,49552000,0.0059,1,2023-11-13 22:39:02
3,49553000,0.0549,1,2023-11-13 22:39:02
4,49554000,0.0592,1,2023-11-13 22:39:02
   ,   price , quantity ,e  ,          timestamp
0,49545000,0.0002,0,2023-11-13 22:39:07
1,49544000,0.0053,0,2023-11-13 22:39:07
2,49543000,0.0061,0,2023-11-13 22:39:07
3,49542000,0.0046,0,2023-11-13 22:39:07
4,49541000,0.0045,0,2023-11-13 22:39:07
0,49547000,0.0052,1,2023-11-13 22:39:07
1,49548000,0.0046,1,2023-11-13 22:39:07
2,49549000,0.0161,1,2023-11-13 22:39:07
3,49550000,0.0059,1,2023-11-13 22:39:07
4,49551000,0.0584,1,2023-11-13 22:39:07
   ,   price , quantity ,e  ,          timestamp
0,49554000,0.0042,0,2023-11-13 22:39:12
1,49553000,0.0048,0,2023-11-13 22:39:12
2,49552000,0.0041,0,2023-11-13 22:39:12
3,49551000,0.0046,0,2023-11-13 22:39:12
4,49550000,0.0057,0,2023-11-13 22:39:12
0,49555000,0.0551,1,2023-11-13 22:39:12
1,49556000,0.0534,1,2023-11-13 22:39:12
2,49557000,0.0056,1,2023-11-13 22:39:12
3,49558000,0.0056,1,2023-11-13 22:39:12
4,49560000,0.0045,1,2023-11-13 22:39:12
   ,   price , quantity ,e  ,          timestamp
0,49555000,0.2169,0,2023-11-13 22:39:17
1,49554000,0.0460,0,2023-11-13 22:39:17
2,49553000,0.0045,0,2023-11-13 22:39:17
3,49552000,0.0017,0,2023-11-13 22:39:17
4,49551000,0.0046,0,2023-11-13 22:39:17
0,49558000,0.0056,1,2023-11-13 22:39:17
1,49559000,0.0545,1,2023-11-13 22:39:17
2,49560000,0.0545,1,2023-11-13 22:39:17
3,49561000,0.0054,1,2023-11-13 22:39:17
4,49562000,0.0043,1,2023-11-13 22:39:17
   ,   price , quantity ,e  ,          timestamp
0,49554000,0.0885,0,2023-11-13 22:39:22
1,49553000,0.0045,0,2023-11-13 22:39:22
2,49552000,0.0017,0,2023-11-13 22:39:22
3,49551000,0.0046,0,2023-11-13 22:39:22
4,49550000,0.0057,0,2023-11-13 22:39:22
0,49555000,0.3605,1,2023-11-13 22:39:22
1,49556000,0.0057,1,2023-11-13 22:39:22
2,49557000,0.0060,1,2023-11-13 22:39:22
3,49558000,0.0059,1,2023-11-13 22:39:22
4,49560000,0.0045,1,2023-11-13 22:39:22
   ,   price , quantity ,e  ,          timestamp
0,49555000,0.0054,0,2023-11-13 22:39:27
1,49553000,0.0041,0,2023-11-13 22:39:27
2,49552000,0.0017,0,2023-11-13 22:39:27
3,49551000,0.0046,0,2023-11-13 22:39:27
4,49550000,0.0317,0,2023-11-13 22:39:27
0,49557000,0.2208,1,2023-11-13 22:39:27
1,49558000,0.0059,1,2023-11-13 22:39:27
2,49559000,0.0110,1,2023-11-13 22:39:27
3,49560000,0.0047,1,2023-11-13 22:39:27
4,49561000,0.0054,1,2023-11-13 22:39:27
   ,   price , quantity ,e  ,          timestamp
0,49556000,0.1951,0,2023-11-13 22:39:32
1,49555000,0.1393,0,2023-11-13 22:39:32
2,49553000,0.0041,0,2023-11-13 22:39:32
3,49552000,0.0276,0,2023-11-13 22:39:32
4,49551000,0.0902,0,2023-11-13 22:39:32
0,49558000,0.0059,1,2023-11-13 22:39:32
1,49559000,0.0002,1,2023-11-13 22:39:32
2,49560000,0.0047,1,2023-11-13 22:39:32
3,49561000,0.0601,1,2023-11-13 22:39:32
4,49562000,0.0045,1,2023-11-13 22:39:32
   ,   price , quantity ,e  ,          timestamp
0,49560000,0.0055,0,2023-11-13 22:39:37
1,49559000,0.0058,0,2023-11-13 22:39:37
2,49557000,0.0052,0,2023-11-13 22:39:37
3,49556000,0.0044,0,2023-11-13 22:39:37
4,49555000,0.0054,0,2023-11-13 22:39:37
0,49561000,0.0168,1,2023-11-13 22:39:37
1,49562000,0.0045,1,2023-11-13 22:39:37
2,49563000,0.0048,1,2023-11-13 22:39:37
3,49564000,0.0664,1,2023-11-13 22:39:37
4,49565000,0.1221,1,2023-11-13 22:39:37
   ,   price , quantity ,e  ,          timestamp
0,49561000,0.0051,0,2023-11-13 22:39:42
1,49560000,0.0105,0,2023-11-13 22:39:42
2,49559000,0.0053,0,2023-11-13 22:39:42
3,49557000,0.0052,0,2023-11-13 22:39:42
4,49556000,0.0044,0,2023-11-13 22:39:42
0,49562000,0.0060,1,2023-11-13 22:39:42
1,49564000,0.0609,1,2023-11-13 22:39:42
2,49565000,0.1221,1,2023-11-13 22:39:42
3,49566000,0.0045,1,2023-11-13 22:39:42
4,49567000,0.0524,1,2023-11-13 22:39:42
   ,   price , quantity ,e  ,          timestamp
0,49559000,0.0046,0,2023-11-13 22:39:47
1,49557000,0.0052,0,2023-11-13 22:39:47
2,49556000,0.0044,0,2023-11-13 22:39:47
3,49555000,0.0054,0,2023-11-13 22:39:47
4,49553000,0.0041,0,2023-11-13 22:39:47
0,49561000,0.2148,1,2023-11-13 22:39:47
1,49562000,0.1106,1,2023-11-13 22:39:47
2,49563000,0.0492,1,2023-11-13 22:39:47
3,49564000,2.7280,1,2023-11-13 22:39:47
4,49565000,0.1221,1,2023-11-13 22:39:47
   ,   price , quantity ,e  ,          timestamp
0,49556000,0.0004,0,2023-11-13 22:39:52
1,49555000,0.0054,0,2023-11-13 22:39:52
2,49553000,0.0041,0,2023-11-13 22:39:52
3,49552000,0.0017,0,2023-11-13 22:39:52
4,49551000,0.0902,0,2023-11-13 22:39:52
0,49558000,0.0102,1,2023-11-13 22:39:52
1,49560000,0.0046,1,2023-11-13 22:39:52
2,49561000,0.0547,1,2023-11-13 22:39:52
3,49562000,0.0606,1,2023-11-13 22:39:52
4,49563000,0.0544,1,2023-11-13 22:39:52
   ,   price , quantity ,e  ,          timestamp
0,49559000,0.0007,0,2023-11-13 22:39:57
1,49556000,0.0004,0,2023-11-13 22:39:57
2,49555000,0.0054,0,2023-11-13 22:39:57
3,49553000,0.0041,0,2023-11-13 22:39:57
4,49552000,0.0017,0,2023-11-13 22:39:57
0,49560000,0.0051,1,2023-11-13 22:39:57
1,49561000,0.0598,1,2023-11-13 22:39:57
2,49562000,0.0060,1,2023-11-13 22:39:57
3,49563000,0.0593,1,2023-11-13 22:39:57
4,49564000,2.7280,1,2023-11-13 22:39:57
   ,   price , quantity ,e  ,          timestamp
0,49556000,0.0004,0,2023-11-13 22:40:02
1,49555000,0.0054,0,2023-11-13 22:40:02
2,49553000,0.0041,0,2023-11-13 22:40:02
3,49552000,0.0017,0,2023-11-13 22:40:02
4,49551000,0.2312,0,2023-11-13 22:40:02
0,49558000,0.0094,1,2023-11-13 22:40:02
1,49560000,0.0057,1,2023-11-13 22:40:02
2,49561000,0.0583,1,2023-11-13 22:40:02
3,49562000,0.0560,1,2023-11-13 22:40:02
4,49563000,0.0052,1,2023-11-13 22:40:02
   ,   price , quantity ,e  ,          timestamp
0,49551000,0.1260,0,2023-11-13 22:40:07
1,49550000,0.0057,0,2023-11-13 22:40:07
2,49549000,0.0061,0,2023-11-13 22:40:07
3,49548000,0.0043,0,2023-11-13 22:40:07
4,49547000,0.0051,0,2023-11-13 22:40:07
0,49553000,0.0041,1,2023-11-13 22:40:07
1,49554000,0.0030,1,2023-11-13 22:40:07
2,49556000,0.0054,1,2023-11-13 22:40:07
3,49557000,0.0584,1,2023-11-13 22:40:07
4,49558000,0.0500,1,2023-11-13 22:40:07
   ,   price , quantity ,e  ,          timestamp
0,49556000,0.0051,0,2023-11-13 22:40:12
1,49555000,0.2076,0,2023-11-13 22:40:12
2,49553000,0.0050,0,2023-11-13 22:40:12
3,49552000,0.0588,0,2023-11-13 22:40:12
4,49551000,0.2095,0,2023-11-13 22:40:12
0,49559000,0.0500,1,2023-11-13 22:40:12
1,49560000,0.0057,1,2023-11-13 22:40:12
2,49561000,0.0043,1,2023-11-13 22:40:12
3,49562000,0.0060,1,2023-11-13 22:40:12
4,49563000,0.0052,1,2023-11-13 22:40:12
   ,   price , quantity ,e  ,          timestamp
0,49559000,0.0060,0,2023-11-13 22:40:17
1,49556000,0.0041,0,2023-11-13 22:40:17
2,49555000,0.0052,0,2023-11-13 22:40:17
3,49553000,0.0050,0,2023-11-13 22:40:17
4,49552000,0.0396,0,2023-11-13 22:40:17
0,49561000,0.0453,1,2023-11-13 22:40:17
1,49562000,0.0060,1,2023-11-13 22:40:17
2,49563000,0.0052,1,2023-11-13 22:40:17
3,49564000,2.7171,1,2023-11-13 22:40:17
4,49565000,0.1221,1,2023-11-13 22:40:17
   ,   price , quantity ,e  ,          timestamp
0,49556000,0.0046,0,2023-11-13 22:40:22
1,49555000,0.0049,0,2023-11-13 22:40:22
2,49553000,0.0050,0,2023-11-13 22:40:22
3,49552000,0.0053,0,2023-11-13 22:40:22
4,49551000,0.2095,0,2023-11-13 22:40:22
0,49560000,0.0551,1,2023-11-13 22:40:22
1,49561000,0.0535,1,2023-11-13 22:40:22
2,49562000,0.0060,1,2023-11-13 22:40:22
3,49563000,0.0052,1,2023-11-13 22:40:22
4,49564000,2.7171,1,2023-11-13 22:40:22
   ,   price , quantity ,e  ,          timestamp
0,49552000,0.0053,0,2023-11-13 22:40:27
1,49551000,0.1232,0,2023-11-13 22:40:27
2,49550000,0.0057,0,2023-11-13 22:40:27
3,49549000,0.0061,0,2023-11-13 22:40:27
4,49548000,0.0043,0,2023-11-13 22:40:27
0,49556000,0.0614,1,2023-11-13 22:40:27
1,49557000,0.0546,1,2023-11-13 22:40:27
2,49560000,0.0047,1,2023-11-13 22:40:27
3,49561000,0.0006,1,2023-11-13 22:40:27
4,49562000,0.0060,1,2023-11-13 22:40:27
   ,   price , quantity ,e  ,          timestamp
0,49556000,0.0051,0,2023-11-13 22:40:32
1,49553000,0.0060,0,2023-11-13 22:40:32
2,49552000,0.0552,0,2023-11-13 22:40:32
3,49551000,0.1232,0,2023-11-13 22:40:32
4,49550000,0.0057,0,2023-11-13 22:40:32
0,49557000,0.0526,1,2023-11-13 22:40:32
1,49559000,0.0529,1,2023-11-13 22:40:32
2,49560000,0.0047,1,2023-11-13 22:40:32
3,49561000,0.0006,1,2023-11-13 22:40:32
4,49562000,0.0060,1,2023-11-13 22:40:32
   ,   price , quantity ,e  ,          timestamp
0,49556000,0.0061,0,2023-11-13 22:40:37
1,49553000,0.0060,0,2023-11-13 22:40:37
2,49552000,0.0552,0,2023-11-13 22:40:37
3,49551000,0.1774,0,2023-11-13 22:40:37
4,49550000,0.0057,0,2023-11-13 22:40:37
0,49559000,0.0403,1,2023-11-13 22:40:37
1,49560000,0.0116,1,2023-11-13 22:40:37
2,49561000,0.0531,1,2023-11-13 22:40:37
3,49562000,0.0060,1,2023-11-13 22:40:37
4,49563000,0.0052,1,2023-11-13 22:40:37
   ,   price , quantity ,e  ,          timestamp
0,49555000,0.0055,0,2023-11-13 22:40:42
1,49553000,0.0129,0,2023-11-13 22:40:42
2,49552000,0.0552,0,2023-11-13 22:40:42
3,49551000,0.1774,0,2023-11-13 22:40:42
4,49550000,0.0057,0,2023-11-13 22:40:42
0,49557000,0.0070,1,2023-11-13 22:40:42
1,49559000,0.0500,1,2023-11-13 22:40:42
2,49560000,0.0267,1,2023-11-13 22:40:42
3,49561000,0.0529,1,2023-11-13 22:40:42
4,49562000,0.0060,1,2023-11-13 22:40:42
   ,   price , quantity ,e  ,          timestamp
0,49556000,0.2159,0,2023-11-13 22:40:47
1,49555000,0.2174,0,2023-11-13 22:40:47
2,49553000,0.0129,0,2023-11-13 22:40:47
3,49552000,0.0980,0,2023-11-13 22:40:47
4,49551000,0.1774,0,2023-11-13 22:40:47
0,49559000,0.0354,1,2023-11-13 22:40:47
1,49560000,0.0267,1,2023-11-13 22:40:47
2,49561000,0.0208,1,2023-11-13 22:40:47
3,49562000,0.0262,1,2023-11-13 22:40:47
4,49563000,0.1584,1,2023-11-13 22:40:47
   ,   price , quantity ,e  ,          timestamp
0,49553000,0.0028,0,2023-11-13 22:40:52
1,49552000,0.0060,0,2023-11-13 22:40:52
2,49551000,0.1774,0,2023-11-13 22:40:52
3,49550000,0.0057,0,2023-11-13 22:40:52
4,49549000,0.0061,0,2023-11-13 22:40:52
0,49556000,0.0572,1,2023-11-13 22:40:52
1,49557000,0.0042,1,2023-11-13 22:40:52
2,49559000,0.0521,1,2023-11-13 22:40:52
3,49560000,0.0267,1,2023-11-13 22:40:52
4,49561000,0.0208,1,2023-11-13 22:40:52
   ,   price , quantity ,e  ,          timestamp
0,49552000,0.0060,0,2023-11-13 22:40:57
1,49551000,0.1774,0,2023-11-13 22:40:57
2,49550000,0.0057,0,2023-11-13 22:40:57
3,49549000,0.0061,0,2023-11-13 22:40:57
4,49548000,0.0043,0,2023-11-13 22:40:57
0,49553000,0.5395,1,2023-11-13 22:40:57
1,49554000,0.0049,1,2023-11-13 22:40:57
2,49555000,0.0521,1,2023-11-13 22:40:57
3,49556000,0.7925,1,2023-11-13 22:40:57
4,49557000,0.0042,1,2023-11-13 22:40:57
   ,   price , quantity ,e  ,          timestamp
0,49552000,0.0019,0,2023-11-13 22:41:02
1,49551000,0.1774,0,2023-11-13 22:41:02
2,49550000,0.0073,0,2023-11-13 22:41:02
